Date,Customer,Job #_y,Item_y,AQL Shift,Inspection Station (Gluer),Total Pieces,Defect Code,Defect Description,Defective Samples,Total Samples,Total Estimated Defective,Department of Origin,Machine of Origin
,,410249,719.0,,,,,,,,0.0,,
,,411617,719.0,,,,,,,,0.0,,
,,412285,719.0,,,,,,,,0.0,,
,,412486,719.0,,,,,,,,0.0,,
,,412522,719.0,,,,,,,,0.0,,
,,420337,719.0,,,,,,,,0.0,,
,,420555,719.0,,,,,,,,0.0,,
,,421326,719.0,,,,,,,,0.0,,
,,401056,721.0,,,,,,,,0.0,,
,,401340,721.0,,,,,,,,0.0,,
,,401899,721.0,,,,,,,,0.0,,
,,402153,721.0,,,,,,,,0.0,,
,,410108,721.0,,,,,,,,0.0,,
,,410527,721.0,,,,,,,,0.0,,
,,410799,721.0,,,,,,,,0.0,,
,,410800,721.0,,,,,,,,0.0,,
,,410810,721.0,,,,,,,,0.0,,
,,410811,721.0,,,,,,,,0.0,,
,,410822,721.0,,,,,,,,0.0,,
,,410823,721.0,,,,,,,,0.0,,
,,410963,721.0,,,,,,,,0.0,,
,,411266,721.0,,,,,,,,0.0,,
,,411466,721.0,,,,,,,,0.0,,
,,420570,721.0,,,,,,,,0.0,,
,,421004,721.0,,,,,,,,0.0,,
,,421414,721.0,,,,,,,,0.0,,
,,412635,724.0,,,,,,,,0.0,,
,,401040,727.0,,,,,,,,0.0,,
,,402149,727.0,,,,,,,,0.0,,
,,410172,727.0,,,,,,,,0.0,,
,,410968,727.0,,,,,,,,0.0,,
,,411470,727.0,,,,,,,,0.0,,
,,411905,727.0,,,,,,,,0.0,,
,,412490,727.0,,,,,,,,0.0,,
,,412526,727.0,,,,,,,,0.0,,
,,420559,727.0,,,,,,,,0.0,,
,,420342,727.0,,,,,,,,0.0,,
,,421005,727.0,,,,,,,,0.0,,
,,401187,728.0,,,,,,,,0.0,,
,,401553,729.0,,,,,,,,0.0,,
,,410098,729.0,,,,,,,,0.0,,
,,412491,729.0,,,,,,,,0.0,,
,,412527,729.0,,,,,,,,0.0,,
,,420343,729.0,,,,,,,,0.0,,
,,420560,729.0,,,,,,,,0.0,,
,,401138,739.0,,,,,,,,0.0,,
,,402131,739.0,,,,,,,,0.0,,
,,420137,739.0,,,,,,,,0.0,,
,,401985,751.0,,,,,,,,0.0,,
,,401986,753.0,,,,,,,,0.0,,
,,401986,754.0,,,,,,,,0.0,,
,,401986,755.0,,,,,,,,0.0,,
,,410964,761.0,,,,,,,,0.0,,
,,411467,761.0,,,,,,,,0.0,,
,,412627,761.0,,,,,,,,0.0,,
,,401532,762.0,,,,,,,,0.0,,
,,410109,762.0,,,,,,,,0.0,,
,,410685,762.0,,,,,,,,0.0,,
,,411615,762.0,,,,,,,,0.0,,
,,421000,762.0,,,,,,,,0.0,,
,,401054,764.0,,,,,,,,0.0,,
,,401338,764.0,,,,,,,,0.0,,
,,401897,764.0,,,,,,,,0.0,,
,,410109,764.0,,,,,,,,0.0,,
,,410529,764.0,,,,,,,,0.0,,
,,410801,764.0,,,,,,,,0.0,,
,,410812,764.0,,,,,,,,0.0,,
,,410824,764.0,,,,,,,,0.0,,
,,410825,764.0,,,,,,,,0.0,,
,,411268,764.0,,,,,,,,0.0,,
,,411615,764.0,,,,,,,,0.0,,
,,412627,764.0,,,,,,,,0.0,,
,,420998,764.0,,,,,,,,0.0,,
